data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,#country+code,#event+code,,#date+occurred,,,#event+type,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,
1954460,728,SSD5333,5333,2018-11-09,2018,1,Violence against civilians,Aluakluak Communal Militia (South Sudan),,4,Civilians (South Sudan),,7,47,Eastern Africa,South Sudan,Lakes,Rumbek East,Alamtoch West,Akot,6.5520,30.0591,2,Radio Tamazuj,Regional,"On November 9th, a local chief and his son were shot dead whilst they were travelling to Akot for a peace conference (coordinates for Akot, Lakes state, used). The county commissioner alleged the attackers came from the Aluak-Luak area of Lakes. The peace conference was cancelled as a result of the killing.",2,1542043972,SSD
1954459,728,SSD5332,5332,2018-11-06,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,Radio Voice of Hope,Subnational,"On November 6th, a group of ""unknown gunmen"" first raped and then killed a pregnant lady in Wau (Western Bahr el Ghazal).",1,1542043972,SSD
1899867,728,SSD5330,5330,2018-11-02,2018,1,Strategic development,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,Government of South Sudan (2011-),,1,12,Eastern Africa,South Sudan,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Radio Miraya; Sudan Tribune,National-Regional,"On November 2nd, two prominent SPLM-IO detainees (James Gatdet Dak, former IO spokesman, and William Endley, a South African national and military consultant to the IO) were released in Juba, following their Presidential pardon two days earlier. Both had been sentanced to death.",0,1541443581,SSD
1954458,728,SSD5331,5331,2018-11-02,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Eastern Equatoria,Torit,Hiyala,Tirangore,4.4801,32.8160,1,Radio Emmanuel,Subnational,"On November 2nd, local youth opened fire on indiviudals to prevent an inter-family crime in Tirangore village (Eastern Equatoria). Three injured and the perpetrators escaped.",0,1542043972,SSD
1954084,728,SSD5328,5328,2018-10-31,2018,1,Violence against civilians,Murle Ethnic Militia (South Sudan),,4,Civilians (South Sudan),,7,47,Eastern Africa,South Sudan,Jonglei,Bor South,Maar,Jalle,6.7489,31.4154,2,Radio Tamazuj; Eye Radio (South Sudan),National-Regional,"On October 31st, raiders (suspected to belong to the Murle ethnic group) attacked the cattle camp of Akot in the area of Jalle payam (Jonglei). The county commissioner for Bor North said the raiders killed 9 people (including three women and a young child), whilst 7 were injured. Many cattle were also reported to be stolen, and the cattle camp was destroyed. Update: A subsequent news report revised the death toll updwards to 10, and noted that nearly 780 families have been displaced by the attack.",10,1542040997,SSD
1899866,728,SSD5329,5329,2018-10-31,2018,1,Strategic development,Government of South Sudan (2011-),Military Forces of South Sudan (2011-),1,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Radio Tamazuj; Eye Radio (South Sudan),National-Regional,"On October 31st, Dr Riek Machar returned to Juba to participate in the peace celebrations. The event - which was attended by Presidents Omar el-Bashir and Yoweri Museveni - took place amidst heavy security, though no security incidents were reported. Two days prior to this, the SSPDF rejected the proposed doubling of the UN Regional Protection Force.",0,1541443581,SSD
1899864,728,SSD5327,5327,2018-10-30,2018,1,Battle-No change of territory,Murle Ethnic Militia (South Sudan),,4,Poktap Communal Militia (South Sudan),,4,44,Eastern Africa,South Sudan,Jonglei,Duk,Duk Payuel,Poktap,7.4571,31.4128,1,Radio Tamazuj; Eye Radio (South Sudan),National-Regional,"On October 30th, raiders (suspected of being Murle youth) attacked Poktap (Jonglei). A lengthy battle took place between local youth and the raiders between 10 and 15kms from the town itself, in which five local youths and two raiders were killed, and fifteen injured. According to the county commissioner, 6,000 cattle were stolen, all of which were recovered.",7,1541443581,SSD
1899863,728,SSD5326,5326,2018-10-29,2018,1,Riots/Protests,Protesters (South Sudan),Students (South Sudan),6,,,0,60,Eastern Africa,South Sudan,Jonglei,Bor South,Makuac,Bor,6.2144,31.5620,2,Radio Tamazuj; Radio Miraya,National-Regional,"On October 29th, around 200 students from the at Dr John Garang Memorial University of Science and Technology gathered in Bor (Jonglei state) to protest against insecurity on the Juba-Bor road, following the wounding of a student two days prior.",0,1541443581,SSD
1899862,728,SSD5325,5325,2018-10-28,2018,1,Battle-No change of territory,Unidentified Armed Group (South Sudan),,3,Police Forces of South Sudan (2011-) Wildlife Police,,1,13,Eastern Africa,South Sudan,Western Equatoria,Tambura,Tambura,Tambura,5.5985,27.4621,2,Radio Tamazuj,Regional,"On October 28th, two attackers shot and killed a Wildlife officer (coded here as Police Forces of South Sudan) whilst he was on-duty in the Tambura East area (coordinates for Tambura, Western Equatoria, used). Two suspects have been arrested.",1,1541443581,SSD
