event_id_no_cnty;event_date;event_type;actor1;inter1;actor2;inter2;country;location;fatalities
5333;09/11/2018;Violence against civilians;Aluakluak Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Akot;2
5332;06/11/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Wau;1
5330;02/11/2018;Strategic development;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;Government of South Sudan (2011-);1;South Sudan;Juba;
5331;02/11/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Tirangore;0
5328;31/10/2018;Violence against civilians;Murle Ethnic Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Jalle;
5329;31/10/2018;Strategic development;Government of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Juba;
5327;30/10/2018;Battle-No change of territory;Murle Ethnic Militia (South Sudan);4;Poktap Communal Militia (South Sudan);4;South Sudan;Poktap;
5326;29/10/2018;Riots/Protests;Protesters (South Sudan);6;;0;South Sudan;Bor;
5325;28/10/2018;Battle-No change of territory;Unidentified Armed Group (South Sudan);3;Police Forces of South Sudan (2011-) Wildlife Police;1;South Sudan;Tambura;1
5324;27/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Bor;
5323;27/10/2018;Battle-No change of territory;Dinka Ethnic Militia (South Sudan);4;Police Forces of South Sudan (2011-);1;South Sudan;Abiriu;
5320;26/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Kendiri;0
5322;26/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Wau;
5319;25/10/2018;Strategic development;Government of South Sudan (2011-);1;Prisoners (South Sudan);7;South Sudan;Juba;
5315;24/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Limuro;0
5316;24/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bazia;0
5317;24/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Wau;0
5318;24/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;0
5321;24/10/2018;Battle-No change of territory;Western Jikany Nuer Ethnic Militia (South Sudan);4;Western Jikany Nuer Ethnic Militia (South Sudan);4;South Sudan;Koch;
5314;22/10/2018;Battle-Non-state actor overtakes territory;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;FDP: Federal Democratic Party;3;South Sudan;Kotker;
5313;21/10/2018;Violence against civilians;Panyijiar Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Adior;0
5310;17/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (Kenya);7;South Sudan;Kapoeta;0
5306;16/10/2018;Riots/Protests;Protesters (South Sudan);6;UNMISS: United Nations Mission in the Republic of South Sudan (2011-);8;South Sudan;Juba;
5307;16/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (Eritrea);7;South Sudan;Kapoeta;1
5308;16/10/2018;Battle-No change of territory;NAS: National Salvation Front;2;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Minori;0
5309;16/10/2018;Strategic development;SSLM/A: South Sudan Liberation Movement/Army;2;SSLM/A: South Sudan Liberation Movement/Army (Splinter Faction);2;South Sudan;Juba;0
5305;15/10/2018;Battle-No change of territory;NAS: National Salvation Front;2;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Minori;0
5298;14/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;Military Forces of South Sudan (2011-);1;South Sudan;Juba;1
5299;14/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Aduel;3
5300;14/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Aluakluak;1
5301;14/10/2018;Violence against civilians;Aluakluak Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Pagan;3
5304;14/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;
5302;14/10/2018;Battle-No change of territory;NAS: National Salvation Front;2;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Logo;
5303;14/10/2018;Battle-No change of territory;NAS: National Salvation Front;2;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Minori;
5291;13/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Aluakluak;
5293;13/10/2018;Battle-No change of territory;Kobura Clan Mundari Ethnic Militia (South Sudan);4;Nyangwara Clan Mundari Ethnic Militia (South Sudan);4;South Sudan;Terkeka;5
5294;13/10/2018;Violence against civilians;Unidentified Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Lokiliri;0
5295;13/10/2018;Strategic development;Unidentified Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Labarab;0
5296;13/10/2018;Riots/Protests;Rioters (South Sudan);5;;0;South Sudan;Rumbek;0
5297;13/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;
5292;13/10/2018;Strategic development;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Shambe;
5290;12/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;
5266;11/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Bor;
5262;11/10/2018;Battle-No change of territory;Kobura Clan Mundari Ethnic Militia (South Sudan);4;Nyangwara Clan Mundari Ethnic Militia (South Sudan);4;South Sudan;Terkeka;
5289;11/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;
5265;10/10/2018;Battle-No change of territory;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;Military Forces of South Sudan (2011-);1;South Sudan;Koch;1
5268;10/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Tit Agok;0
5286;10/10/2018;Violence against civilians;Unidentified Communal Militia (South Sudan);4;Civilians (South Sudan);7;South Sudan;Labarab;0
5287;10/10/2018;Battle-No change of territory;Unidentified Communal Militia (South Sudan);4;Unidentified Communal Militia (South Sudan);4;South Sudan;Labarab;0
5288;10/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;
5264;09/10/2018;Battle-No change of territory;Kobura Clan Mundari Ethnic Militia (South Sudan);4;Nyangwara Clan Mundari Ethnic Militia (South Sudan);4;South Sudan;Terkeka;
5285;09/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;
5263;08/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Wau;0
5284;08/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;
5260;07/10/2018;Riots/Protests;Rioters (South Sudan);5;Police Forces of South Sudan (2011-) National Security Service;1;South Sudan;Juba;0
5261;07/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Lujulu;0
5281;07/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SSOA: South Sudan Opposition Alliance;2;South Sudan;Wau;0
5282;07/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SSOA: South Sudan Opposition Alliance;2;South Sudan;Yei;0
5283;07/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;
5278;06/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SSOA: South Sudan Opposition Alliance;2;South Sudan;Wau;0
5279;06/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SSOA: South Sudan Opposition Alliance;2;South Sudan;Yei;0
5280;06/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;
5256;05/10/2018;Battle-No change of territory;Apuk-Padoch Clan Dinka Ethnic Militia (South Sudan);4;Lou-Paher Clan Dinka Ethnic Militia (South Sudan);4;South Sudan;Tonj;0
5259;05/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Bor;2
5275;05/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SSOA: South Sudan Opposition Alliance;2;South Sudan;Wau;0
5276;05/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SSOA: South Sudan Opposition Alliance;2;South Sudan;Yei;0
5277;05/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;
5255;04/10/2018;Strategic development;MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-);8;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Juba;0
5258;04/10/2018;Strategic development;Military Forces of South Sudan (2011-);1;Military Forces of Sudan (1989-);8;South Sudan;Juba;0
5272;04/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SSOA: South Sudan Opposition Alliance;2;South Sudan;Wau;0
5273;04/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SSOA: South Sudan Opposition Alliance;2;South Sudan;Yei;0
5274;04/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;
5269;03/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SSOA: South Sudan Opposition Alliance;2;South Sudan;Wau;0
5270;03/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SSOA: South Sudan Opposition Alliance;2;South Sudan;Yei;0
5271;03/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Bagari;
5253;02/10/2018;Strategic development;Military Forces of South Sudan (2011-);1;;0;South Sudan;Juba;0
5254;02/10/2018;Strategic development;SSOA: South Sudan Opposition Alliance;2;SSOA: South Sudan Opposition Alliance (Splinter Faction);2;South Sudan;Juba;0
5257;02/10/2018;Strategic development;SS-UF: South Sudan-United Front;2;SS-UF: South Sudan-United Front (Splinter Faction);2;South Sudan;Juba;0
5250;01/10/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Gemmaiza;0
5251;01/10/2018;Battle-No change of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Mundu;0
5252;01/10/2018;Strategic development;Military Forces of South Sudan (2011-);1;;0;South Sudan;Cueibet;0
5249;30/09/2018;Non-violent transfer of territory;Military Forces of South Sudan (2011-);1;SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition;2;South Sudan;Kendiri;0
5246;29/09/2018;Battle-No change of territory;Langbar Communal Militia (South Sudan);4;Langbar Communal Militia (South Sudan);4;South Sudan;Langbar;0
5245;28/09/2018;Strategic development;PDM-P: People's Democratic Movement for Peace;3;;0;South Sudan;Juba;0
5248;28/09/2018;Violence against civilians;Unidentified Armed Group (South Sudan);3;Civilians (South Sudan);7;South Sudan;Yambio;9
